NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
1642;Peraturan Presiden RI No.23 Tahun 2017 Tentang Pengesahan Pasal Persetujuan Fasilitas Penjaminan Kredit Dan Investigasi;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1643;Peraturan Presiden RI No.25 Tahun 2017 Tentang Tunjangan Jabatan Fungsional Pemeriksa Keimigrasian;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1644;Peraturan Presiden RI No.26 Tahun 2017 Tentang Tunjangan Jabatan Fungsional Analisis Keimigrasian;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1645;Peraturan Presiden RI No.27 Tahun 2017 Tentang Tunjangan Jabatan Fungsional Penyuluh Hukum;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1646;Peraturan Presiden RI No.28 Tahun 2017 Tentang Tunjangan Jabatan Fungsional Pemeriksa Merek;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1647;Peraturan Presiden RI No.29 Tahun 2017 Tentang Tunjangan Jabatan Fungsional Pemeriksa Desain Industri;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1648;Peraturan Presiden RI No.30 Tahun 2017 Tentang Tunjangan Jabatan Fungsional Pemeriksa Paten;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1649;Peraturan Presiden RI No.31 Tahun 2017 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Republik Ceko Mengenai Pembebasan Visa Bagi Pemegang Paspor Diplomatik Atau Paspor Dinas;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1650;Peraturan Presiden RI No.32 Tahun 2017 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Kerajaan Yordania Hasyimiah Mengenai Pembebasan Visa Bagi Pemegang Paspor Diplomatik Dan Dinas;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1651;Peraturan Presiden RI No.33 Tahun 2017 Tentang Pengesahan Persetujuan Antara Pemerintah RI Dan Pemerintah Republik Serbia Mengenai Pembebasan Visa Bagi Pemegang Paspor Diplomatik Dan Paspor Dinas;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1652;Peraturan Presiden RI No.34 Tahun 2017 Tentang Universitas Islam Negeri Mataram;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1653;Peraturan Presiden RI No.35 Tahun 2017 Tentang Universitas Islam Negeri Imam Bonjol Padang;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1654;Peraturan Presiden RI No.37 Tahun 2017 Tentang Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1655;Peraturan Presiden RI No.38 Tahun 2017 Tentang Universitas Islam Negeri Raden Intan Lampung;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1656;Peraturan Presiden RI No.39 Tahun 2017 Tentang Universitas Islam Negeri Sultan Maulana Hasanuddin Banten;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1657;Peraturan Presiden RI No.41 Tahun 2017 Tentang Perubahan Atas Peraturan Presiden No.41 Tahun 2015 Tentang Kementerian BUMN;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1658;Peraturan Presiden RI No.42 Tahun 2017 Tentang Jabatan Fungsional Anggota POLRI;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1659;Peraturan Presiden RI No.44 Tahun 2017 Tentang Perubahan Atas Peraturan Presiden No.12 Tahun 2010 Tentang Badan Nasional Pengelola Perbatasan;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1661;Peraturan Presiden RI No.47 Tahun 2017 Tentang Penyediaan Lampu Tenaga Surya Hemat Energi Bagi Masyarakat Yang Belum Mendapatkan Akses Listrik;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1662;Peraturan Presiden RI No.52 Tahun 2017 Tentang Pengesahan Protokol Mengenai Kerangka Hukum Untuk Melaksanakan Asean Single Window;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1663;Peraturan Presiden RI No.53 Tahun 2017 Tentang Badan Siber Dan Sandi Negara;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1664;Peraturan Presiden RI No.54 Tahun 2017 Tentang Unit Kerja Presiden Pembinaan Ideologi Pancasila;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1665;Peraturan Presiden RI No.55 Tahun 2017 Tentang Penyelesaian Pembangunan Rumah Susun Pada Perguruan Tinggi Negeri Di Lingkungan Kementerian Riset, Teknologi, Dan Pendidikan Tinggi;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1666;Peraturan Presiden RI No.59 Tahun 2017 Tentang Pelaksanaan Pencapaian Tujuan Pembangunan Berkelanjutan;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1667;Peraturan Presiden RI No.60 Tahun 2017 Tentang Penghasilan Dan Hak-hak Lain Kepala Perwakilan Ombudsman Republik Indonesia Di Daerah;--;Kemensetneg R.I.;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1668;Peraturan Presiden No.61 Tahun 2017 Tentang Pengesahan Persetujuan Tentang Pembentukan Sekretariat Regional Untuk Pelaksanaan Pengaturan Saling Pengakuan Tenaga Profesional Pariwisata Asean;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1669;Peraturan Presiden RI No.62 Tahun 2017 Tentang Kedudukan Keuangan Ketua Dan Anggota Banwaslu, Ketua Dan Anggota Banwaslu Provinsi, Dan Ketua Dan Anggota Dewan Kehormatan Penyelenggara Pemilihan Umum;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1670;Peraturan Presiden No.64 Tahun 2017 Tentang Dosen Di Lingkungan Universitas Pertahanan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1671;Peraturan Presiden No.65 Tahun 2017 Tentang Perubahan Kedua Atas Perpres No.49 Tahun 2012 Tentang Kepaniteraan Dan Sekretariat Jenderal Mahkamah Konstitusi;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1672;Peraturan Presiden No.67 Tahun 2017 Tentang Tunjangan Kinerja Pegawai Di Lingkungan Kementerian Ketenagakerjaan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1673;Peraturan Presiden No.68 Tahun 2017 Tentang Tunjangan Jabatan Fungsional Analis Kebijakan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1674;Peraturan Presiden No.69 Tahun 2017 Tentang Hak Keuangan Dan Fasilitas Lainnya Bagi Kepala, Sekretariat Badan, Deputi, Kelompok Kerja Dan Kelompok Ahli Badan Restorasi Gambut;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1675;Peraturan Presiden No.73 Tahun 2017 Tentang Perubahan Atas Perpres No.90 Tahun 2012 Tentang Badan Intelijen Negara;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1676;Peraturan Presiden No.75 Tahun 2017 Tentang Penilaian Kembali Barang Milik Negara / Daerah;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1677;Peraturan Presiden No.79 Tahun 2017 Tentang Rencana Kerja Pemerintah Tahun 2018;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1678;Peraturan Presiden No.80 Tahun 2017 Tentang Badan Pengawas Obat Dan Makanan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1679;Peraturan Presiden No.82 Tahun 2017 Tentang Tim Perunding Perjanjian Perdagangan Internasional;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1680;Peraturan Presiden No.83 Tahun 2017 Tentang Kebijakan Strategis Pangan Dan Gizi;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1681;Peraturan Presiden No.92 Tahun 2017 Tentang Pengesahan Protokol Terkait Dengan Persetujuan Madrid Mengenai Pendaftaran Merek Secara Internasional, 1989;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1682;Peraturan Presiden No.93 Tahun 2017 Tentang Perubahan Atas Peraturan Presiden No.19 Tahun 2015 Tentang Kementerian Pariwisata;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1683;Peraturan Presiden No.94 Tahun 2017 Tentang Tunjangan Kinerja Pegawai Dilingkungan Badan Informasi Geospasial;--;Kemenkum & HAM;Jakarta;2017;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1684;PERBANDINGAN HUKUM PERDATA;R.SOEROSO;Sinar Grafika;Jakarta;1999;979-8767-75-6;;1.,;3.-;xiv, 204;3D;;21;346;SOE;;;ADA;;;;;;;;
1685;PERBANDINGAN HUKUM PERDATA;R. SOEROSO, S.H.;Sinar Grafika;Jakarta;1999;979-8061-75-6;;1.,;3.-;xiv, 204;3D;;21;346;SOE;S;;ADA;;;;;;;;
1686;PERBANDINGAN HUKUM PERDATA;R. SOEROSO, S.H.;Sinar Grafika;Jakarta;2003;979-8767-75-6;;1.,;5.-;xiv, 204;3D;;21;346;SOE;S;;ADA;;;;;;;;
1687;PERBANDINGAN HUKUM PIDANA BEBERAPA NEGARA;Prof. Dr. jur. ANDI HAMZAH;Sinar Grafika;Jakarta;2009;978-979-007-066-0;;3.,;2.-;viii, 152;2A;2;21;341.3;HAM;;;ADA;;n;;;;;;
1688;PERBANDINGAN HUKUM PIDANA BEBERAPA NEGARA;Prof. Dr. jur. ANDI HAMZAH;Sinar Grafika;Jakarta;2012;978-979-007-066-0;;3.,;3.-;150;2A;1;20,5;341.3;HAM;S;;ADA;;n;;;;;;
1689;PERBANDINGAN PEMBERANTASAN KORUPSI DI BERBAGAI NEGARA;Prof. Dr. jur. ANDI HAMZAH;Sinar Grafika;Jakarta;2008;979-3421-88-6;;;3.-;ix, 92;2B;;23;340.2;HAM;S;;ADA;;n;;;;;;
1690;PERBANKAN DAN LEMBAGA PENJAMIN SIMPANAN // UNDANG-UNDANG R.I NO. 24 TAHUN 2004;--;FOKUSMEDIA;Bandung;2004;;;; ;;4A;;;;;;;;;;;;;;;
1691;PERDEBATAN HUKUM TATA NEGARA PASCA AMANDEMEN KONSTITUSI;MOH. MAHFUD, MD.;RAJAWALI PERS;Jakarta;2011;978-979-769-309-1;;1.,;2.-;xxvi, 268;3G;;24;342;MAH;S;;ada;;;;;;;;
1692;PERIHAL HAK CIPTA INDONESIA // TINJAUAN TERHADAP AUTEURSWET 1912 DAN UU HAK CIPTA 1982;RAMDLON NANING, S.H.;LIBERTY;Yogyakarta;1982;;;;;;7B;;;;;;;ada;;;;;;;;
1693;Perihal Kaedah Hukum;"Prof. Purnadi Purbacaraka, S.H. ; Prof. Dr. Soejono Soekanto, S.H., M.A.";PT. Citra Aditya Bakti;Bandung;1993;;;;;;5D;;;340;PUR;B;;ada;;;;;;;;
1694;PERIHAL UNDANG-UNDANG;Prof. Dr. JIMLY ASSHIDDIQIE, S.H.;RAJAWALI PERS;Jakarta;2010;;;;;;5D;;;;;;;ada;;;;;;;;
1695;PERJANJIAN DI BAWAH TANGAN (PROGRAM PRAKTIS PEMBUATAN DAN APLIKASI HUKUM);R. SOEROSO, S.H.;Sinar Grafika;Jakarta;2010;978-979-007-327-2;;1.,;1,-;xxii, 171;3A;;21;346;SOE;S;;ada;;;;;;;;
1696;PERJANJIAN KREDIT BANK;Prof. DR. MARIAM DARUS BADRULZAMAN, S.H.;PT. Citra Aditya Bakti;Bandung;1991;979-414-608-0;;;5.-;xx, 405;3F;;21;346.7;BAD;;;ada;;;;;;;;
1697;PERJANJIAN PEMBORONGAN;F.X. DJUMIALDJI, S.H.;PT. Rineka Cipta;Jakarta;1991;979-518-218-8;;;2.-;vii, 188;3F;;20,5;346.7;DJU;;;ada;;;;;;;;
1698;PERJANJIAN PERBURUHAN DAN HUBUNGAN PERBURUHAN PANCASILA;"F.X. DJUMIALDJI, S.H.; WIWOHO SOEDJONO, S.H.";PT. BINA AKSARA;Jakarta;1982;;;;1.-;165;3C;;20,5;344;DJU;;;ada;;;;;;;;
1699;PERKARA-PERKARA POLITIK DAN PILKADA DI PENGADILAN;O.C. KALIGIS & ASSOCIATES;PT. ALUMNI;Bandung;2009;979-41-4072-4;1;1.,;1.-;376;1B;;20,5;347.7;KAL;;;ada;;n;;;;;;
1700;PERKARA-PERKARA POLITIK DAN PILKADA DI PENGADILAN;O.C. KALIGIS & ASSOCIATES;PT. ALUMNI;Bandung;2009;979-41-4073-2;2;;1.-;x, 638;1B;;20,5;348.04;KAL;;;ADA;;n;;;;;;
1701;PERKEMBANGAN ARBITRASE DAGANG INTERNASIONAL DI INDONESIA;Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ERESCO;Bandung;1989;;;;1.-;200;1F;;21;346.2;GAU;;;ADA;;n;;;;;;
1702;PERKEMBANGAN HAM DAN KEBERADAAN PERADILAN HAM DI INDONESIA;"Prof. H. ROZALI ABDULLAH, S.H. ; SYAMSIR, S.H.";GHALIA INDONESIA;Bogor;2004;;;;1.-;;7C;;;;;;;;;;;;;;;
1703;PERKEMBANGAN HAM DAN KEBERADAAN PERADILAN HAM DI INDONESIA;"Prof. H. ROZALI ABDULLAH, S.H. ; SYAMSIR, S.H.";GHALIA INDONESIA;Bogor;2004;;;;2.-;;7C;2;;;;;;;;;;;;;;
1704;PERKEMBANGAN HUKUM DIPLOMATIK;EDY SURYONO, S.H., M.H.;CV, MANDAR MAJU;Bandung;1992;;;;;;7F;;;;;;;;;;;;;;;
1705;PERKEMBANGAN HUKUM JAMINAN DI INDONESIA;H. SALIM HAS, S.H., M.S.;PT. Rajagrafindo Persada;Jakarta;2008;;;;;;3F;;;346.082;SAL;;;;;;;;;;;
1706;PERKEMBANGAN HUKUM KONTRAK DILUAR KUH PERDATA//BUKU DUA;H. SALIM HS., S.H., M.S..;PT. Rajagrafindo Persada;Jakarta;2008;978-979-769-189-9;;1.,;1.-;xiv, 284;3F;;21;346.02;SAL;;;ADA;;;;;;;;
1707;PERKEMBANGAN HUKUM KONTRAK INNOMINAAT DI INDONESIA//BUKU KESATU;SALIM HS, S.H., M.S.;Sinar Grafika;Jakarta;2004;979-3421-46-0;;;2.-;x, 186;3F;;23;346.2;SAL;S;;ADA;;;;;;;;
1708;PERKEMBANGAN HUKUM KONTRAK INNOMINAAT DI INDONESIA;SALIM HS, S.H., M.S.;Sinar Grafika;Jakarta;2010;979-3421-46-0;;;5.-;x, 186;3F;;23;346.02;SAL;S;;ADA;;;;;;;;
1709;PERKEMBANGAN PEMIKIRAN DALAM ILMU HUKUM;MHD. SHIDDIQ TGK. ARMIA, S.Ag.;PT. PRADNYA PARAMITA;Jakarta;2003;;;;;;6E;;;;;;;;;;;;;;;
1710;PERKEMBANGAN PEMIKIRAN TENTANG PEMBINAAN HUKUM NASIONAL DI INDONESIA;H. ABDURRAHMAN, S.H., M.H.;CV. AKADEMIKA PRESSINDO;Jakarta;1989;;;;;;6C;;;349.598;ABD;;;;;;;;;;;
1711;PERKEMBANGAN TEORI DALAM ILMU HUKUM;H. SALIM, HS., S.H., M.S.;RAJAWALI PERS;Jakarta;2010;;;;;;7G;;;;;;;;;;;;;;;
1712;PERLINDUNGAN ANAK DI BAWAH UMUR // DALAM PERKAWINAN USIA MUDA DAN PERKAWINAN SIRI;Dr. H.M. ABDI KORO, S.H., M.H., M.M.;PT. ALUMNI;Bandung;2012;979-41-4146-1;;1.,;1.-;;6E;;;;;;;;;;;;;;;
1713;PERLINDUNGAN HAM MELALUI ASAS PRADUGA TIDAK BERSALAH DAN ASAS PERSAMAAN KEDUDUKAN DALAM HUKUM PADA SISTEM PERADILAN PIDANA INDONESIA;Prof. Dr. Hj. MIEN RUKMINI, S.H., M.S.;PT. ALUMNI;Bandung;2007;979-414-009-0;;8.,;2.-;xvi, 272;2D;;21;345.07;RUK;S;;ada;;n;;;;;;
1714;PERLINDUNGAN HUKUM TERHADAP ANAK // DALAM SISTEM PERADILAN PIDANA ANAK DI INDONESIA;Dr. MAIDIN GULTOM, S.H., M.Hum.;PT. REFIKA ADITAMA;Bandung;2008;979-1073-56-2;;;1.-;;6E;;;;;;;ada;;;;;;;;
1715;PERLINDUNGAN TERHADAP KORBAN KEKERASAN SEKSUAL (ADVOKASI ATAS HAK ASASI PEREMPUAN);"Drs. ABDUL WAHID, S.H., M.A. ; Drs. MUHAMMAD IRFAN, S.H., M.Pd.";PT. REFIKA ADITAMA;Bandung;2001;979-96055-18-9;;;1.-;xviii, 163;2E;;24;345;WAH;B;;ada;;n;;;;;;
1716;Perlindungan Terhadap Saksi Pelaku Yang Bekerjasama (Justice Collaborators) // Usulan Dalam Rangka Revisi UU Perlindungan Saksi Dan Korban;--;Satuan Tugas Pemberantasan Mafia Hukum;Jakarta;2011;;;revisi.,;2.-;;5D;2;;;;;;ada;;;;;;;;
1717;PERMASALAHAN HUKUM DI INDONESIA;Prof. Dr. SATJIPTO RAHARDJO, S.H.;ALUMNI;Bandung;1983;;;;;180;1B;;20,5;340;RAH;;;ada;;n;;;;;;
1718;Perpajakan;Prof. Dr. Mardiasmo, MBA., Ak.;Penerbit Andi;Yogyakarta;2004;;;rev.,;;;5F;;;336.2;MAR;B;;ada;;;;;;;;
1719;Perpajakan 1994 // Uraian Tentang UU NO. 9 Th 1994 Dihubungkan Dengan UU No. 10 Th 1994 Dan UU No. 11 Th 1994;Dr. Soeparman, S.H., M.H.;PT. Citra Aditya Bakti;Bandung;1995;;;;;;5F;;;343.4;SOE;;;ada;;;;;;;;
1720;PERS // ASPEK-ASPEK HUKUM;Prof. OEMAR SENO ADJI, S.H.;ERLANGGA;Jakarta;1977;;;;2.-;;7G;;;;;;;ada;;;;;;;;
1721;Persepsi Masyarakat Terhadap Pelaksanaan Tugas Kejaksaan Dalam Bidang Perdata Dan Tata Usaha Negara;"Sri Hastuti, S.H. ; Khunaifi Alhumami, S.H., M.H. ; dkk.";Kejaksaan Agung R.I.;Jakarta;2014;978-602-7744-64-6;;;;208;6A;;21;340;HAS;S;;ada;;;;;;;;
1722;Persepsi Masyarakat Terhadap Pelaksanaan Tugas Kejaksaan Dalam Penanganan Perkara Pidana;Sri Hastuti, S.H. , Yoeniarti Sasongko, S.H. , R. Mohamad Rozi, S.H., M.H.;Miswar;Jakarta;2013;978-602-7744-67-7;;;;;6B;;;347;UTI;s;;ada;;;2708;;;;;
1723;Persepsi Masyarakat Terhadap Pelaksana Tugas Kejaksaan Dalam Penanganan Perkara Pidana;"Niniek Suparni, S.H., M.H. ; Hening Condrowati, S.H.";Kejaksaan Agung R.I.;Jakarta;2014;978-602-7744-67-7;;;;204;6A;;21;340;SUP;S;;ada;;;;;;;;
1724;PERSEROAN TERBATAS (PARADIGMA BARU);MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2003;979-414-888-1;;;1.-;xii, 426;3E;;20,5;346.6;FUA;S;;ada;;;;;;;;
1725;PERSPEKTIF HUKUM PEMBERHENTIAN KEPALA DAERAH;HUFRON, S.H., M.H.;LAKSBANG;Yogyakarta;2005;979-9431-10-7;;;1.-;140;1B;;21;342.6;HUF;B;;ada;;n;;;;;;
1726;PERSPEKTIF PENGAWASAN DALAM MANAJEMEN PEMBANGUNAN NASIONAL MEMASUKI ABAD XXI;ISMUDJOKO, S.H. , Dr. BINSAR H. SIMANJUNTAK , Drs. SJAMSUDDIN, dkk.;BALAI PUSTAKA;Jakarta;1998;;;;;;7F;;;;;;;;;;;;;;;
1727;PERSPEKTIF, TEORI, DAN KEBIJAKSANAAN HUKUM;MULYANA W. KUSUMAH;CV. RAJAWALI;Jakarta;1986;;;;;;6C;;;340.1;KUS;;;;;;;;;;;
1728;PERTANAHAN (AGRARIA)//DISERTAI PERATURAN JABATAN PEJABAT PEMBUAT AKTA TANAH (PPAT);DIHIMPUN TEAM REDAKSI NUANSA AULIA;NUANSA AULIA;Bandung;2008;978-602-8166-29-4;;;10.-;x, 622;3E;;24,5;346.04;TEA;B;;ADA;;;;;;;;
1729;PERTANGGUNGJAWABAN PIDANA KORPORASI;Prof. Dr. MULADI, S.H. - Prof. Dr. DWIDJA PRIYATNO, S.H., M.H.;Kencana;Jakarta;2010;978-979-1486-89-7;;1.,;1.-;viii, 258;2B;2;20,5;346.066;MUL;S;;ADA;;n;;;;;;
1730;PERTANGGUNGJAWABAN PIDANA KORPORASI;Prof. Dr. SUTAN REMY SJAHDEINI, S.H.;PUSTAKA UTAMA GRAFITI;Jakarta;2011;978-979-444-461-0;;;1.-;xx, 224;3E;;21;346.066;SJA;S;;ADA;;n;;;;;;
1731;PERUBAHAN HUKUM PRIVAT KE HUKUM PUBLIK (STUDI HUKUM PERBURUHAN DI INDONESIA);HARI SUPRIYANTO, S.H., M.Hum.;UNIVERSITAS ATMA JAYA YOGYAKARTA;Yogyakarta;2004;979-9243-43-2;;1.,;;viii, 93;3D;;23;346;SUP;B;;ADA;;;;;;;;
1732;PERUBAHAN PERANAN WANITA PEDESAAN DI KALIMANTAN TENGAH DALAM KONTEKS PEMBANGUNAN DESA;A.J. HARIWUNG, TIMOTEUS NUSAN, S. HAPOSAN SIRAIT, dkk.;KANWIL DEPDIKBUD KALTENG;Palangka Raya;1996;;;;;;6C;2;;301.32;KEB;;;;;;;;;;;
1733;PERUMUSAN MEMORI KASASI DAN PENINJAUAN KEMBALI PERKARA PIDANA;Dr. LEDEN MARPAUNG, S.H.;Sinar Grafika;Jakarta;2004;979-8767-59-4;;;2.-;256;2A;;20,5;347.03;MAR;;;ADA;;n;;;;;;
1734;PERWAKAFAN TANAH // DALAM POLITIK HUKUM AGRARIA NASIONAL;Drs. H. TAUFIQ HAMAMI, S.H.;PT. TATANUSA;Jakarta;2003;979-8409-62-0;;;1.-;277;1E;;21;346.044;HAM;B;187.000;ADA;;n;;;;;;
1735;PETA KEAGAMAAN PROP. KALIMANTAN TENGAH;--;KANWIL DEPARTEMEN AGAMA PROP. KALTENG;Palangka Raya;1990;;;;;;5E;;;;;;;;;;;;;;;
1736;PETUNJUK PELAKSANAAN UNDANG-UNDANG OTONOMI DAERAH DAN INTERSIFIKASI PEMUNGUTAN DAN PENYETORAN PPH, PPN, DAN PPn-BM DI DAERAH TAHUN 2000;--;CV. TAMITA UTAMA;Jakarta;2000;;;;;;5E;;;;;;;;;;;;;;;
1737;PETUNJUK PRAKTIS TATA CARA PEROLEHAN TANAH UNTUK INDUSTRI;D. SOETRISNO, S.H.;PT. Rineka Cipta;Jakarta;2004;979-518-883-6;;;1.-;ix, 187;3E;;23,5;346.44;SOE;;;ADA;;;;;;;;
1738;PETUNJUK TEKNIS TINDAK PIDANA KHUSUS (PENYELESAIAN PERKARA TINDAK PIDANA KHUSUS);;JAMPIDSUS - KEJAGUNG R.I.;Jakarta;2004;;;;;;6F;;;;;;;;;;;;;;;
1739;PIDANA DAN PEMIDANAAN;BAMBANG WALUYO, S.H.;Sinar Grafika;Jakarta;2004;979-8767-42-X;;1.,;2.-;212;2A;;20,5;345;WAL;;;ADA;;n;;;;;;
1740;PIDANA KERJA SOSIAL DALAM PEMBAHARUAN HUKUM PIDANA INDONESIA;TONGAT, S.H., M.Hum.;DJAMBATAN;Jakarta;2002;979-428-426-2;;;1.-;117;2D;;21;345;TON;;;ADA;y;;;;;;;
1741;PIDANA MATI DALAM NEGARA PANCASILA;Prof. (Em). Dr. J.E. SAHETAPY, S.H., M.A.;PT. Citra Aditya Bakti;Bandung;2007;979-414-957-8;;;1.-;viii, 170;2C;;20,5;364.6;SAH;S;;ADA;y;;;;;;;
1742;PIDANA SEUMUR HIDUP DALAM SISTEM HUKUM PIDANA DI INDONESIA;TONGAT, S.H., M.Hum.;UMM PRESS;Malang;2004;979-3602-14-7;;1.,;1.-;237;2A;;20;345;TON;B;;ADA;;n;;;;;;
1743;Pilkada Langsung;Agustin Teras Narang, S.H.;The ATN Centre;Jakarta;2004;;;;;;4B;;;324.6;TER;;;Ada;;;2732;;;;;
1744;POKOK-POKOK FILSAFAT HUKUM // APA DAN BAGAIMANA FILSAFAT HUKUM INDONESIA;"Prof. DARJI DARMODIHARJO, S.H. ; SHIDARTA, S.H., M.Hum.";PT. Gramedia Pustaka Utama;Jakarta;2002;;;;;;7D;;;;;;;;;;;;;;;
1745;POKOK-POKOK HUKUM ACARA PERDATA;Prof. MOH. TAUFIK MAKARAO, S.H., M.H.;PT. Rineka Cipta;Jakarta;2009;978-979-518-890-2;;;2,-;ix, 248;3A;;23,5;347.05;MAK;;;ADA;;;;;;;;
1746;POKOK-POKOK HUKUM ACARA PIDANA;Dr. MARWAN EFFENDY, S.H.;;Jakarta;;;;;;ii, 178;2F;;21;345.05;EFF;S;;ADA;;n;;;;;;
1747;POKOK-POKOK HUKUM ADMINISTRASI;LUTFI EFFENDI, S.H., M.Hum.;BAYUMEDIA PUBLISHING;Malang;2004;979-3323-30-2;;1.,;3.-;vii, 99;3G;;20;350;EFF;;;ADA;;;;;;;;
1748;POKOK-POKOK HUKUM ADMINISTRASI NEGARA;"S.F. MARBUN; MOH. MAHFUD, MD.";LIBERTY;Yogyakarta;2009;;;1.,;5.-;xiv, 214;3G;;18,5;346.001;MAR;S;;ADA;;;;;;;;
1749;POKOK-POKOK HUKUM ISLAM ;Drs. SUDARSONO, S.H., M.Si.;PT. Rineka Cipta;Jakarta;2001;979-518-308-7;;;2.-;672;1E;;20,5;297.4;SUD;S;;ADA;;n;;;;;;
